noop,registration-minimal,registration-mappings,deregistration-minimal,deregistration-mappings,fork-simple,fork-fastcall,vfork-simple,vfork-fastcall
21,1200,2846,5338,6847,41955,53422,9783,9539
22,1154,2839,5357,6928,47206,49384,10003,9681
21,1136,3114,5731,6874,41741,52052,12151,9531
22,1134,2779,5229,7255,41557,53269,9708,15110
22,1101,3196,5306,6620,46052,49678,9373,9582
21,1194,2812,5213,6571,44827,52255,9860,9733
21,1146,2866,5345,6816,42027,52747,14154,9903
21,1398,3201,5288,6661,45725,49586,11940,11765
20,1141,2785,5279,7152,42496,51996,9403,9667
21,1139,2806,5555,6893,43643,52374,9559,10037
21,1166,3146,5263,6551,45976,49396,14402,9454
20,1134,2809,5402,6551,42524,52171,12661,12161
21,1158,3128,5158,6879,42664,55723,9641,9735
21,1205,2887,5232,6814,47205,50007,9437,10022
20,1107,2880,5389,6713,42415,51663,13747,9330
21,1398,3105,5365,6968,42882,53066,9652,11826
20,1153,2881,5278,6708,47820,49540,9575,9810
21,1140,2834,5611,7070,44294,52316,9211,9532
20,1128,3183,5449,6877,42148,52374,14057,12933
21,1128,2802,5355,6837,45418,49470,9390,13036
21,1107,3083,5176,6631,43980,54059,9569,9772
20,1212,2981,5156,6778,43973,53031,16616,10316
22,1099,2857,5159,7008,42475,49835,14712,10476
21,1388,3142,5441,6788,45468,52481,9376,11616
21,1139,2868,5150,7080,42987,54217,10178,9685
20,1149,2805,5431,6894,42468,52971,9676,9652
20,1140,3080,5707,7156,45647,51191,18250,9832
21,1148,2896,5592,6923,42831,52064,10053,12471
21,1102,3145,5360,6992,42559,49795,9315,9746
22,1202,2829,5158,6603,45872,52088,9660,11649
21,1138,2968,5201,7044,41126,52303,13884,9577
20,1402,3098,5260,6702,43070,49802,9490,11979
21,1194,2819,5391,6914,45994,54272,9551,9333
21,1161,2925,5561,7073,42584,52663,10849,9613
22,1107,3079,5347,6991,42462,49940,17872,13236
21,1136,2798,5628,6968,46354,51223,11623,11659
20,1144,3191,5480,6623,41831,54992,9830,9812
20,1198,2852,5334,6817,42379,49824,9799,14254
21,1105,2763,5246,7236,45778,51387,14331,9986
22,1405,3207,5177,7087,42051,52445,9435,12387
21,2706,2832,5251,6845,42238,50828,9689,9535
21,1175,2826,5161,6734,46126,52107,12766,9730
21,1268,3159,5457,6762,43999,52876,13426,9652
21,1094,2830,5172,6718,42399,48722,9344,11531
21,1104,3147,5230,6939,42003,53754,9649,9609
21,1154,2925,5310,6816,45819,51797,9712,10011
20,1141,2891,5280,6720,42371,48703,19219,10082
21,1417,3123,5341,7078,42402,52968,9692,11337
20,1157,2880,5309,7108,46013,53896,9738,10012
20,1115,2824,5542,6875,43844,50898,15023,13189
21,1205,3065,5872,6818,42346,51767,14128,9900
20,1170,2837,5237,6855,45573,53139,9442,11912
21,1102,3140,5472,6681,42379,51199,9569,9695
21,1205,2980,5208,6752,43945,50842,9667,10380
22,1136,2846,5181,7065,46028,52176,14897,9547
21,1393,3076,5245,6776,41600,50053,9900,12760
21,1139,2875,5272,6761,42041,53983,9506,9708
21,1129,2874,5575,6611,48130,53465,12935,9479
21,1177,3124,5147,7194,42725,49229,15282,9643
21,1093,2924,5351,6623,42111,51919,10293,12198
21,1105,3150,5276,6929,45248,55245,9790,10085
21,1170,2799,5644,6812,44891,49594,9661,10899
20,1144,2918,5339,7122,42548,52095,14392,9839
22,1440,3122,5298,6819,45321,52896,11579,12146
20,1211,2806,5166,7110,42061,51633,9600,9812
20,1100,2907,5388,6779,42546,51692,9973,13179
21,1197,3106,5280,6680,41813,52529,14185,9754
21,1124,2864,5832,6774,44899,49770,9349,11510
20,1108,3233,5249,7553,42872,51706,9738,9408
21,1139,2854,5342,6781,42644,52118,9738,10249
22,1142,2843,5122,6959,45032,49170,13850,10176
20,1393,3174,5173,7059,41371,51539,10118,11315
21,1139,2774,5251,6933,41939,52497,12850,9890
22,1160,2877,5270,6863,45675,48717,9636,9925
21,1272,3183,5159,6951,42445,51607,13891,9659
21,1098,2892,5199,6757,41913,52353,9781,12879
21,1093,3105,5273,6536,45527,48719,11849,10027
20,1136,2890,5837,6542,43129,51799,15310,9717
21,1147,2868,5186,7482,41829,52530,13694,9966
21,1440,3120,5499,6780,45624,50030,9580,12242
21,1149,2844,5342,6925,41891,51478,9497,9914
21,1093,2860,5281,7152,42170,52417,9511,13291
21,1204,3183,5468,6562,45856,48803,13300,10278
22,1131,2884,5185,6697,42175,51239,10018,12794
21,1120,3144,5154,6908,42483,52114,10293,10569
21,1193,2898,5255,6784,46271,48488,9448,11573
22,1132,2827,5392,7218,44195,51975,13815,10076
21,1414,3082,5206,7071,42352,52359,9940,12500
20,1135,2876,5179,6701,41972,48553,12852,9949
20,1121,2797,5395,7065,45944,60295,9682,9926
22,1183,3102,5252,6438,43565,49058,15286,10082
21,1091,2927,5244,6946,42143,51077,11200,12593
21,1095,3174,5508,7061,45480,54344,9421,11761
21,1128,2759,5291,6771,42313,50994,9869,13549
22,1166,2925,5278,7172,43502,51051,14228,12238
21,1439,2941,5142,7457,45366,55030,9567,13845
20,1196,2825,5599,7011,42193,49922,9526,13369
21,1081,2912,5357,6935,41608,51599,10213,9636
21,1201,3164,5172,6662,47450,54590,13439,9609
20,1140,2870,5551,6875,42123,50021,9660,11960
21,1101,3165,5287,6668,42307,49598,9905,9845
21,1140,2817,5791,6901,46208,55589,9572,10047
21,1141,2835,5232,6869,43923,50225,13948,9606
20,1388,3078,5466,7282,42877,50510,13206,11766
21,1126,2785,5577,7043,44621,55204,9497,9491
21,1125,2848,5358,6899,42116,53928,16283,10348
20,1264,3202,5348,6761,43800,49295,12888,9535
20,1089,2890,5306,6908,41760,55072,9476,11558
20,1086,3178,5238,6743,45394,50031,9638,9960
21,1126,2844,5299,6710,42167,51885,9794,9877
21,1135,2837,5295,7198,45434,54733,13163,9706
20,1421,3110,5568,6693,45306,51354,9450,13071
21,1147,2913,5446,6879,43963,48879,9544,12835
21,1103,2807,5338,6645,42209,54834,10020,9784
21,1193,3166,5383,7050,46818,48687,13146,9604
21,1131,2930,5321,6637,42776,48891,9490,12141
21,1115,3116,5336,6897,42225,54982,9329,9624
21,1198,2831,5243,6482,46899,49012,9720,10375
21,1148,2893,5191,7030,44894,48783,17255,9695
21,1395,3060,5553,6866,42797,55729,14737,12095
22,1139,2850,5415,6636,46159,50090,9663,9628
21,1130,2886,5361,6999,42475,50353,9429,9791
20,1185,3119,5128,6658,44588,54343,14330,9520
22,1093,2953,5291,6938,44756,49381,9997,13077
21,1094,3124,5589,6481,42263,49609,9494,10089
21,1129,2861,5253,6673,42271,54699,9703,10795
21,1133,2915,5477,6720,46843,49367,14830,9538
21,1451,3110,5236,6747,41466,49975,9806,15274
20,1198,2813,5357,6869,43238,54165,9490,9698
21,1088,2907,5271,6766,42415,49890,10347,10160
20,1205,3117,5506,7079,47555,49489,12238,9746
20,1128,2852,5646,6891,42706,54766,9661,11988
20,1113,3233,5455,7131,42147,49760,9514,9752
20,1137,2806,5126,6895,45263,48960,14800,9924
20,1151,2859,5495,7029,43684,55248,17602,9995
21,1399,3124,5262,6755,41252,50067,10485,12166
21,1132,2795,5353,6924,44532,48602,9416,9448
21,1125,2735,5356,6704,41677,55083,9966,10918
20,1256,3194,5341,6995,43412,49461,14416,9930
21,1099,2865,5423,6825,46001,49105,9296,13000
21,1098,3176,5304,6843,42849,54742,9530,10162
21,1145,2856,5247,6498,42416,49703,9951,10458
21,1143,2857,5281,6965,46782,49459,15480,9799
21,1457,3140,5261,6567,41896,54801,9227,15462
22,1131,2792,5216,6797,42586,50375,9389,10226
22,1081,2841,5589,6691,45284,48782,9566,9982
20,1193,3184,5400,6497,44759,53784,14896,9905
21,1125,2904,5532,6598,42419,49238,11870,11904
21,1094,3205,5253,6793,45157,51981,9825,10572
22,1199,2804,5268,6795,43258,55087,9332,10150
21,1127,2938,5535,6829,43826,49636,18834,9802
20,1391,3108,5275,6581,41703,49970,9566,13756
21,1137,2807,5636,7107,45894,57066,9633,9637
22,1140,2932,5284,6782,42376,53669,10403,9845
21,1183,3104,5304,6788,43909,49228,13426,9734
20,1104,2881,5343,6859,45847,54759,9415,11407
20,1103,3240,5142,6882,43522,50675,9712,9791
20,1160,2830,5370,7116,42713,49548,9760,10966
22,1159,2798,5240,6970,45527,53730,13827,12931
21,1428,3130,5236,6596,42762,49326,9680,11808
22,1185,2778,5226,7021,41896,51261,12458,9613
22,1110,2891,5451,6961,45147,53903,16428,9540
21,1196,3178,5393,6792,41924,49955,14406,9806
21,1133,2898,5246,6524,41594,48914,9570,11644
21,1084,3223,5568,6535,45998,56099,9454,9754
21,1136,2767,5422,6518,42663,49128,12671,11706
21,1120,2861,5238,6559,43532,48982,13888,9609
20,1389,3160,5282,6645,45622,55577,9587,12110
21,1139,2765,5378,6458,42668,50936,9563,9441
21,1135,2832,5402,6740,42507,49316,9470,9760
20,1260,3194,5460,6926,45493,54758,12320,9637
21,1105,2833,5094,6752,42333,49454,9334,11875
21,1094,3153,5155,6621,42715,50882,10107,11702
21,1127,2897,5216,6778,43314,53807,9592,9977
22,1143,2839,5126,6599,45354,48885,14172,13324
22,1416,3086,5689,7073,42014,48443,11216,11589
20,1135,2903,5187,7256,42697,55633,9770,9648
21,1088,2845,5588,6575,45950,48783,9909,9782
21,1185,3155,5232,6611,45056,47895,14604,9867
21,1122,2948,5388,6981,41760,55115,9456,13329
22,1094,3128,5276,6879,46035,50315,10008,10041
22,1183,2845,5323,6810,43680,48933,12625,10029
21,1084,2959,5107,6814,43250,55123,12432,9518
20,1381,3110,5499,6937,44821,49520,9556,11969
22,1157,2855,5291,6696,42344,50889,9538,9405
22,1125,2905,5188,6762,42441,55426,9654,9494
21,1191,3130,5523,6773,45706,48453,15177,10099
21,1092,2877,5310,6825,42144,49187,9817,12242
20,1095,3154,5336,6582,42726,55810,9555,10198
20,1116,2840,5232,6856,46152,48983,15471,13597
21,1143,2833,5332,7054,41481,49317,13322,9640
20,1433,3183,5253,6694,41981,54469,9702,11873
21,1199,2799,5234,6902,45244,50816,9512,10050
21,1086,2949,5370,6902,43372,48531,10273,11483
21,1178,3105,5544,6955,42949,53888,13800,9882
21,1116,2875,5173,6836,42523,49208,9612,11878
21,1099,3172,5393,6706,45759,50075,12903,10035
21,1129,2786,5618,6826,42881,54861,9853,10053
21,1132,2824,5700,7014,42440,49749,14827,10251
21,1387,3199,5490,6678,46473,49089,9431,12079
21,1131,2855,5188,6997,42346,54961,9477,11772
21,1126,2823,5651,6985,42483,49427,9915,9775
22,1255,3200,5110,6697,45846,49150,16031,9936
21,1093,2847,5355,6949,43042,54051,11606,12096
22,1087,3123,5215,6583,41996,48767,9595,9863
21,1121,2905,5482,6989,46347,48230,10195,13458
21,1135,2847,5398,6917,42082,54407,14802,9357
20,1416,3096,5586,6957,42471,49614,9452,13403
21,1121,2872,5482,6986,45175,48192,9711,10331
21,1093,2846,5272,6653,42187,53877,9572,9912
20,1190,3144,5499,6522,42286,49424,13488,9809
21,1138,2987,5360,6854,45192,49495,10050,12641
20,1090,3115,5514,6714,42003,54772,13077,9560
20,1170,2798,5327,6788,45022,49160,9823,10164
20,1116,2957,5285,7303,54802,49450,13617,9896
21,1365,3177,5314,6765,41987,55656,9881,12313
21,1124,2848,5686,6777,41918,49537,10473,9566
21,1118,2928,5353,6885,41839,51504,17815,9803
21,1186,3138,5458,6957,44872,54040,14314,9783
20,1098,2879,5180,6613,41766,49048,9626,11963
21,1094,3190,5234,7343,42623,49853,9752,9511
22,1125,2839,5311,6526,47378,55101,9599,15173
22,1116,2683,5555,6857,43236,49956,12825,10168
22,1401,3162,5692,6584,43385,50208,9426,11468
21,1192,2851,5264,7069,45871,54376,9496,9800
20,1080,2851,5417,6758,42162,48679,10309,9996
21,1189,3175,5107,6957,42092,50306,13919,9591
21,1129,2882,5553,6963,45560,53602,12627,9610
20,1089,3208,5200,7184,43269,49303,9661,9998
21,1133,2810,5605,6635,43507,48462,9420,10191
21,1137,2851,5110,7065,46836,62785,13184,9845
21,1366,3172,5702,6673,42488,49725,11787,9726
21,1139,2830,5643,7310,43358,49241,9394,9517
21,1131,2846,5344,6886,46411,53775,9333,10203
22,1253,3235,5468,6608,42088,50056,13676,9786
22,1078,2856,5114,6701,42694,48216,9618,9690
21,1088,3100,5518,6450,46145,53893,9724,13044
21,1130,2937,5103,6491,44808,48205,10955,10701
22,1135,2849,5203,6523,43140,91473,13729,10449
20,1416,3086,5189,6661,42064,55719,9480,9529
21,1132,2866,5338,6921,45330,50054,9512,10027
21,1100,2842,5183,6639,43728,49275,9891,9908
21,1197,3111,5477,6979,43138,54988,15833,9849
21,1123,2958,5320,6846,45924,49873,9793,10203
21,1097,3122,5716,6835,41605,49245,11775,10021
21,1198,2802,5379,6869,45173,54361,16087,10080
21,1137,2924,5320,6979,47801,48738,13836,9901
21,1363,3104,5247,6858,42569,49569,9729,10096
22,1125,2814,18100,6860,41963,54491,9803,10033
21,1130,2917,4851,6712,47420,49913,9633,10055
20,1190,3012,4463,6509,42756,49698,13977,10153
22,1103,2823,4437,6601,41714,54660,9437,9830
20,1099,3235,4554,7045,45733,49539,9693,13472
20,1134,2847,4338,6797,43988,49321,9509,11329
22,1141,2852,4191,6467,42680,54981,13112,9711
21,1442,3136,4655,6923,44715,49438,9760,9792
21,1197,2781,4599,7229,42230,49717,9924,9952
21,1094,2836,4588,6803,44667,54490,10040,9799
21,1191,3067,4457,6530,44710,48870,16812,10071
22,1128,2860,4285,6522,42462,49401,12517,10058
21,1092,3122,4559,6662,42715,55021,9663,9709
21,1141,2855,4259,6881,44030,49671,9631,10111
21,1136,2847,4457,6828,45270,48590,14708,10058
21,1388,3105,4323,6823,42139,56537,9578,9908
20,1139,2920,4346,6889,41618,48466,9923,9850
21,1128,2808,4465,6944,46856,48410,9664,9946
22,1260,3227,4473,6969,42350,53059,14943,9664
21,1088,2853,4282,7241,42545,49834,9700,10011
21,1105,3137,4403,6645,46209,48587,9479,13594
21,1138,2941,4553,6998,43208,55143,10706,10164
21,1162,2871,4401,6873,41770,49678,14505,9622
21,1451,3067,4297,6614,45237,50700,9631,9975
21,1130,2736,4518,6958,40960,54595,9405,9834
21,1095,2853,4295,7278,43193,48919,19916,10264
22,1187,3164,4284,6762,46187,49306,13224,11257
21,1173,2948,4295,6661,42428,56942,9750,9862
20,1093,3115,4279,7026,42012,49453,9816,9722
21,1180,2842,4436,6998,48028,51204,9901,10504
20,1126,2942,4305,6764,42697,55401,13077,9821
21,1380,3125,16620,7011,43311,50981,11138,9888
20,1138,2812,5645,6933,45822,49144,10050,10186
20,1143,2917,5332,6774,45101,55615,9502,10028
20,1190,3113,5472,6938,42303,49718,14780,10003
20,1090,2856,5530,6852,42446,51619,9497,13155
21,1103,3194,5520,6543,46662,54308,9271,9660
20,1136,2815,5223,6909,44857,48702,9879,10964
21,1143,2819,5749,6794,42537,49208,13764,9702
22,1417,3170,5200,7395,45629,56679,12808,9574
21,1222,2792,5212,6968,41849,49057,10313,10058
21,1091,2825,5173,8553,44472,48746,13871,9877
21,1191,3186,5262,6802,46826,54264,12835,9614
21,1138,2846,5178,6930,42401,51367,9641,9917
20,1090,3169,5527,17891,43980,49678,9493,10036
20,1130,2906,5341,6073,47147,53763,9349,10152
22,1136,2816,5344,6268,42387,48316,12796,10113
21,1436,3115,5233,5785,41880,51237,9840,9913
21,1132,2868,5220,5850,45105,53954,9645,9805
20,1136,2853,5269,5771,42384,48582,9904,10169
21,1263,3109,5385,5707,42576,48302,15919,10074
20,1085,2918,5392,5792,45469,56239,12604,13072
21,1095,3044,5123,5835,42610,49964,9888,10296
21,1136,2858,5217,5887,43558,48704,9962,10219
22,1138,2882,5545,5928,45926,57802,10672,10105
21,1417,3042,5491,5880,42272,52061,9695,10295
22,1138,2906,5495,5835,42685,48819,14634,9932
22,1095,2883,5289,5888,43203,54785,11594,9908
21,1202,3114,5220,5949,45302,49850,10002,9999
21,1144,2936,5184,5780,43171,50345,10060,10320
21,1098,3143,5902,5801,42468,54700,10579,9922
21,1185,2842,5116,5881,46926,49026,10709,10441
20,1130,2931,5741,6040,42297,49196,10701,9967
21,1397,3121,5368,5896,42381,56490,10127,10172
20,1132,2829,5234,14383,47555,49732,10555,10234
21,1122,2768,5419,6721,41995,50159,10397,11473
21,1186,3126,5494,6513,45270,54411,10075,12572
21,1100,2833,5357,6652,46071,51235,10379,13340
20,1101,3204,5168,6912,44036,48846,10072,9901
21,1130,2839,5472,7366,41948,54523,10403,11334
21,1129,2857,5269,6674,45229,48815,10126,9603
20,1406,3166,5830,7137,42069,51076,10810,10171
20,1194,2799,5137,7006,44017,54664,13096,9751
21,1098,2816,5274,6557,46554,48276,11225,9871
21,1188,3182,5216,7464,41799,49226,9908,10369
21,1140,2899,5588,6742,42100,57335,10244,10043
21,1112,3150,5550,6796,47398,49926,10246,10419
21,1108,2894,5320,6646,41875,48500,9814,10346
22,1124,2836,5142,6729,42090,54114,10182,10011
20,1385,3082,5172,7161,41540,49232,9799,10672
20,1137,2873,5347,6918,47551,48799,10057,10162
21,1134,2696,5454,6977,42172,54525,10448,10059
20,1265,3155,5738,6962,42360,49642,10200,13548
21,1096,2932,5093,7012,46179,49029,9971,9661
21,1090,3178,5528,7086,44497,54548,9574,10428
22,1129,2823,5377,7085,41880,49557,9940,10154
20,1123,2911,5398,6624,45346,50223,10910,10161
21,1399,3116,5285,7020,42242,54801,14369,10290
20,1135,2780,5603,7054,43234,49284,10159,10490
20,1096,2942,5308,6552,45768,49592,10539,11852
20,1184,3120,5800,6573,42330,54845,9746,9193
20,1122,2853,5277,6745,41918,49673,10264,9681
20,1090,3183,5566,6664,48049,49091,9916,9802
21,1175,2816,5536,7269,44330,55207,9812,12318
21,1137,2916,5255,6621,41905,48735,10010,9626
21,1399,2993,5222,7004,45005,48971,10097,9912
20,1135,2804,5738,6630,44065,53314,10168,9413
22,1130,2744,5388,6957,42183,50578,10103,12041
21,1177,3182,5249,6841,45139,49240,9957,13340
20,1095,2900,5180,6887,42385,55217,9982,9731
21,1096,3253,5189,7168,43700,49315,9864,9659
21,1134,2814,5628,7073,41442,48929,10388,12555
22,1135,2853,5232,6829,45549,54038,10045,9568
21,1453,3202,5326,6674,41680,51409,14143,9879
22,1188,2796,5539,7237,43350,48948,9763,9634
22,1099,2847,5501,6707,45979,54969,10606,11512
21,1192,3274,5452,6579,42697,49728,10380,9395
21,1139,2749,17326,7145,42601,49235,9911,9670
21,1093,3152,4264,6670,46995,54455,9629,9781
21,1126,2778,4181,7082,42566,48580,10365,12143
21,1127,2850,4424,7008,42167,48373,10223,9822
21,1418,2953,4763,6888,46147,55605,9416,9700
20,1121,2891,4334,7070,45269,49499,10117,11029
21,1124,2717,4463,6715,42079,49193,10307,15528
21,1258,3148,4419,6673,45101,55185,9846,9306
22,1103,2930,4297,7002,42028,49607,9982,9803
21,1081,3083,4402,6891,44258,50122,10180,9751
22,1138,2812,4551,7204,45756,54245,9434,11769
21,1140,2913,4360,7056,41396,109159,10323,10057
20,1422,3096,4415,6455,42231,50825,13314,9505
21,1136,2812,4357,6887,44990,54858,9702,9905
21,1095,2932,4362,6682,46537,49279,10320,12170
21,1194,3143,4289,6596,42001,48570,9917,9634
21,1135,2950,4151,6506,42156,55375,9830,10093
20,1104,3205,4362,6742,47109,49347,10394,9893
20,1199,2809,4376,6714,43873,49330,10545,12505
20,1141,2846,4399,6571,41935,54327,10374,9631
21,1381,3152,4227,7239,45464,50416,10047,10106
21,1160,2659,4373,6772,44492,49159,10154,9847
20,1132,2858,4325,6885,41497,55222,10339,15055
22,1187,3196,4327,7008,44648,48844,10405,9899
21,1088,2823,4613,7033,42847,48808,9900,9973
21,1111,3055,4358,6712,44376,54000,9986,9571
21,1142,2848,4157,6928,46025,48679,9903,13728
21,1144,2845,4245,6594,43219,48489,13393,9948
20,1438,3120,4373,7093,42943,54422,10477,9883
21,1195,2882,4193,6674,46193,48505,10019,9935
21,1094,2844,4450,6663,42749,49165,10989,11987
21,1193,3126,4667,6955,42147,54483,9867,9614
21,1122,2939,4423,7215,45595,48574,9917,9819
22,1103,3023,4569,6749,42751,49889,10401,9696
21,1137,2870,4309,6797,42310,54686,9588,12729
21,1139,2942,4329,6756,42118,49979,10441,9716
21,1405,3089,4317,6739,45934,49953,9970,10022
22,1143,2828,4196,6721,42025,55191,9583,9832
21,1134,2874,4531,7270,42309,49271,10219,16654
20,1278,3134,4649,6601,45659,49076,9826,9809
21,1095,2872,4349,7179,42216,54175,9536,10183
21,1103,3218,4223,6701,42026,49196,9742,9613
21,1139,2817,4466,6892,45524,51059,9837,12556
21,1140,2819,4547,6552,43478,54462,13484,9910
21,1454,3168,4483,6955,42094,49615,10319,9940
21,1163,2838,4564,6826,44318,49730,10445,9906
20,1110,2914,4451,6721,42519,54691,10415,12037
21,1205,3168,4527,6711,42092,49791,9974,9719
22,1132,2810,4480,6709,45326,50179,10234,10026
21,1113,3164,4312,7115,42934,55265,10066,9331
22,1204,2783,4368,6574,45607,49349,10132,12724
21,1163,2859,4463,6528,44618,51014,10179,9949
22,1386,3210,4426,6811,41944,56279,9874,10008
21,1154,2867,4212,6723,42446,49690,9991,12888
20,1150,2864,4513,7301,45907,49534,10273,11566
22,1186,3219,4277,6854,42775,54081,10270,9957
20,1104,2849,14795,6846,42264,51030,9648,9919
21,1094,3122,5183,7077,42823,48786,10253,9840
21,1146,2876,5623,6830,45930,54253,10104,12418
21,1144,2868,5241,6854,42315,48904,13261,9874
20,1411,3127,5232,6540,42440,50903,9721,9862
21,1200,2934,5504,7243,45177,53701,9807,9794
21,1104,2845,5773,6925,42779,48264,10498,11715
21,1206,3130,5238,6822,41780,49189,10029,9870
21,1132,2937,5278,7021,45260,56477,10084,10019
20,1097,3109,5184,6705,42068,49850,9811,10200
20,1137,2790,5208,6953,44075,49374,9831,12209
20,1135,2914,5278,6958,45748,54923,10203,9641
21,1370,3126,5546,6684,41967,51224,10164,9830
21,1124,2904,5439,7101,42329,48835,10151,12917
21,1132,2911,5791,6684,47025,55142,9697,11893
21,1264,3106,5031,6711,42770,48983,9735,9722
20,1101,2863,5299,6602,42466,52560,9818,10018
21,1113,3190,5191,6901,147348,55105,9698,9693
21,1101,2867,5408,6850,44143,49529,13190,12008
21,1131,2850,5250,6662,41895,52113,10341,9826
21,1421,3210,5337,6508,45698,56893,9558,9795
21,1139,2857,5271,6901,42124,49305,10450,10032
21,1099,2912,5729,6679,42523,49177,9958,11967
21,1203,3136,5758,6642,41952,55240,9544,9855
21,1140,2846,5170,6770,45640,51470,9972,10139
20,1102,3136,5438,6971,43943,48800,10246,9354
21,1187,2813,5540,6536,43846,54603,10280,11948
21,1132,2861,5220,6635,46415,49030,10224,11161
22,1381,3211,5233,6830,43101,50607,9754,9783
21,1140,2875,5543,6957,42920,54011,9853,12943
20,1132,2872,5332,6480,45951,50222,10196,12054
21,1190,3167,5188,6836,42945,48922,9977,9613
21,1087,2799,5503,6947,42526,55974,9890,9485
20,1101,3137,5733,6903,45440,48773,10184,9697
21,1145,2880,5361,6637,43057,48369,13362,13766
21,1116,2837,5392,6667,43314,54313,10139,9575
21,1406,3143,5337,6979,46158,50072,10450,9856
22,1176,2824,5486,6829,42253,48589,10232,9601
21,1073,2831,5248,6563,42714,54250,11005,11412
